a / b | 0.25  0.50  0.75  1.00  1.25  1.50  1.75  2.00 
______|_______________________________________________
10.0  | 0.70  0.70  0.70  0.70  0.65  0.65  0.65  0.70 
20.0  | 0.70  0.70  0.70  0.70  0.70  0.70  0.70  0.75 
30.0  | 0.55  0.70  0.70  0.70  0.70  0.70  0.65  0.65 
40.0  | 0.40  0.70  0.70  0.70  0.65  0.60  0.60  0.60 
50.0  | 0.40  0.65  0.70  0.65  0.60  0.60  0.60  0.60 
60.0  | 0.45  0.65  0.65  0.65  0.60  0.60  0.60  0.60 
70.0  | 0.45  0.60  0.65  0.65  0.60  0.60  0.60  0.60 
80.0  | 0.45  0.60  0.65  0.65  0.65  0.65  0.65  0.65 
90.0  | 0.45  0.55  0.60  0.65  0.65  0.65  0.65  0.65 
100.0 | 0.45  0.50  0.60  0.65  0.65  0.65  0.65  0.65 
